ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
355402815,1.69E+15,7/15/2023 20:25,BTC-PERPETUAL,trade,open sell,30330,-303260,30326,30325.69,30317.21,0,0,0.05,0.00050007,0,-0.00050007,100.053545,100.06,172207321,16733746974,Source: 'api:OfelyaRza'
355402811,1.69E+15,7/15/2023 20:25,BTC-PERPETUAL,trade,open sell,30310,-272930,30326,30327.14,30319.36,0,0,0.05,0.00049974,0,-0.00049974,100.0540451,100.06,172207319,16733744976,Source: 'api:OfelyaRza'
355402810,1.69E+15,7/15/2023 20:25,BTC-PERPETUAL,trade,open sell,20,-242620,30326,30327.14,30319.36,0,0,0.05,3.30E-07,0,-3.30E-07,100.0545448,100.06,172207318,16733744976,Source: 'api:OfelyaRza'
355402807,1.69E+15,7/15/2023 20:24,BTC-PERPETUAL,trade,open sell,80,-242600,30326,30327.09,30319.43,0,0,0.05,0.00000132,0,-0.00000132,100.0545452,100.06,172207317,16733739453,Source: 'api:OfelyaRza'
355402806,1.69E+15,7/15/2023 20:24,BTC-PERPETUAL,trade,open sell,30250,-242520,30326,30327.09,30319.43,0,0,0.05,0.00049875,0,-0.00049875,100.0545465,100.06,172207316,16733739453,Source: 'api:OfelyaRza'
355402697,1.69E+15,7/15/2023 20:21,BTC-PERPETUAL,trade,open sell,30330,-212270,30329.5,30330.51,30320.67,0,0,0.05,0.00050001,0,-0.00050001,100.0550452,100.06,172207262,16733717597,Source: 'api:OfelyaRza'
355402693,1.69E+15,7/15/2023 20:21,BTC-PERPETUAL,trade,open sell,30330,-181940,30329.5,30330.51,30320.14,0,0,0.05,0.00050001,0,-0.00050001,100.0555452,100.06,172207260,16733715988,Source: 'api:OfelyaRza'
355402621,1.69E+15,7/15/2023 20:17,BTC-PERPETUAL,trade,open sell,30330,-151610,30329.5,30329.27,30318.96,0,0,0.05,0.00050001,0,-0.00050001,100.0560453,100.06,172207224,16733688777,Source: 'api:OfelyaRza'
355402593,1.69E+15,7/15/2023 20:17,BTC-PERPETUAL,trade,open sell,30330,-121280,30329.5,30330.45,30321.6,0,0,0.05,0.00050001,0,-0.00050001,100.0565453,100.06,172207210,16733686698,Source: 'api:OfelyaRza'
355402491,1.69E+15,7/15/2023 20:14,BTC-PERPETUAL,trade,open sell,30320,-90950,30322.5,30322.99,30313.01,0,0,0.05,0.00049996,0,-0.00049996,100.0570453,100.06,172207159,16733664434,Source: 'api:OfelyaRza'
355402479,1.69E+15,7/15/2023 20:13,BTC-PERPETUAL,trade,open sell,30300,-60630,30322.5,30322.67,30311.26,0,0,0.05,0.00049963,0,-0.00049963,100.0575452,100.06,172207153,16733659923,Source: 'api:OfelyaRza'
355402478,1.69E+15,7/15/2023 20:13,BTC-PERPETUAL,trade,open sell,10,-30330,30322.5,30322.67,30311.26,0,0,0.052,1.70E-07,0,-1.70E-07,100.0580449,100.06,172207152,16733659923,Source: 'api:OfelyaRza'
355402477,1.69E+15,7/15/2023 20:13,BTC-PERPETUAL,trade,open sell,10,-30320,30322.5,30322.67,30311.26,0,0,0.052,1.70E-07,0,-1.70E-07,100.058045,100.06,172207151,16733659923,Source: 'api:OfelyaRza'
355402321,1.69E+15,7/15/2023 20:09,BTC-PERPETUAL,trade,open sell,26830,-30310,30314,30314.72,30303.72,0,0,0.05,0.00044254,0,-0.00044254,100.0580452,100.06,172207074,16733630477,Source: 'api:OfelyaRza'
355402320,1.69E+15,7/15/2023 20:09,BTC-PERPETUAL,trade,open sell,100,-3480,30314,30314.72,30303.72,0,0,0.05,0.00000165,0,-0.00000165,100.0584877,100.06,172207073,16733630477,Source: 'api:OfelyaRza'
355402319,1.69E+15,7/15/2023 20:09,BTC-PERPETUAL,trade,open sell,3380,-3380,30314,30314.72,30303.72,0,0,0.05,0.00005575,0,-0.00005575,100.0584894,100.06,172207072,16733630477,Source: 'api:OfelyaRza'
355402264,1.69E+15,7/15/2023 20:08,BTC-PERPETUAL,trade,close buy,30310,0,30320.5,30318.17,30303.12,-0.00001649,0,0.05,0.00049983,0,-0.00049983,100.0585451,100.06,172207046,16733626457,Source: api
355402263,1.69E+15,7/15/2023 20:08,BTC-PERPETUAL,trade,open sell,30310,-30310,30320,30318.14,30303.12,0,0,0.05,0.00049984,0,-0.00049984,100.0590449,100.06,172207045,16733626401,Source: 'api:OfelyaRza'
355402227,1.69E+15,7/15/2023 20:08,BTC-PERPETUAL,trade,close buy,28820,0,30320.5,30319.01,30307.52,-0.00001567,0,0.05,0.00047526,0,-0.00047526,100.0595448,100.06,172207027,16733623280,Source: api
355402226,1.69E+15,7/15/2023 20:08,BTC-PERPETUAL,trade,close buy,1500,-28820,30320.5,30319.01,30307.52,-8.20E-07,0,0.05,0.00002474,0,-0.00002474,100.06002,100.06,172207026,16733623280,Source: api
355402223,1.69E+15,7/15/2023 20:08,BTC-PERPETUAL,trade,open sell,30220,-30320,30320,30318.96,30307.52,0,0,0.05,0.00049835,0,-0.00049835,100.0600448,100.06,172207025,16733623215,Source: 'api:OfelyaRza'
